order_book_id,datetime,trading_date,open,last,high,low,prev_close,volume,total_turnover,limit_up,limit_down,a1,a2,a3,a4,a5,b1,b2,b3,b4,b5,a1_v,a2_v,a3_v,a4_v,a5_v,b1_v,b2_v,b3_v,b4_v,b5_v,change_rate,num_trades
000001.XSHE,2022-08-25 14:37:18,2022-08-25,12.4,12.58,12.59,12.3,12.4,80779817.0,1005854190.0,13.64,11.16,12.59,12.6,12.61,12.62,12.63,12.58,12.57,12.56,12.55,12.54,813053.0,1149300.0,323600.0,319100.0,211900.0,69100.0,213700.0,123100.0,129300.0,260800.0,0.014516129032257963,49885.0
000001.XSHE,2022-08-25 14:37:21,2022-08-25,12.4,12.58,12.59,12.3,12.4,80786817.0,1005942252.0,13.64,11.16,12.59,12.6,12.61,12.62,12.63,12.58,12.57,12.56,12.55,12.54,818253.0,1158800.0,325500.0,319100.0,211900.0,63900.0,217300.0,122000.0,127100.0,260800.0,0.014516129032257963,49895.0
000001.XSHE,2022-08-25 14:37:24,2022-08-25,12.4,12.58,12.59,12.3,12.4,80833617.0,1006531438.0,13.64,11.16,12.59,12.6,12.61,12.62,12.63,12.58,12.57,12.56,12.55,12.54,776848.0,1175200.0,325500.0,319200.0,215200.0,72000.0,217300.0,122000.0,127100.0,260800.0,0.014516129032257963,49902.0
000001.XSHE,2022-08-25 14:37:27,2022-08-25,12.4,12.58,12.59,12.3,12.4,80851017.0,1006750348.0,13.64,11.16,12.59,12.6,12.61,12.62,12.63,12.58,12.57,12.56,12.55,12.54,786348.0,1170300.0,325500.0,319200.0,215200.0,63000.0,217300.0,121600.0,127100.0,260800.0,0.014516129032257963,49911.0
000001.XSHE,2022-08-25 14:37:30,2022-08-25,12.4,12.58,12.59,12.3,12.4,80891917.0,1007265067.0,13.64,11.16,12.59,12.6,12.61,12.62,12.63,12.58,12.57,12.56,12.55,12.54,796748.0,1186900.0,325500.0,327100.0,215200.0,48500.0,217300.0,121600.0,127100.0,260800.0,0.014516129032257963,49932.0
000001.XSHE,2022-08-25 14:37:33,2022-08-25,12.4,12.58,12.59,12.3,12.4,80920517.0,1007624860.0,13.64,11.16,12.59,12.6,12.61,12.62,12.63,12.58,12.57,12.56,12.55,12.54,797948.0,1188200.0,325600.0,327400.0,216000.0,25800.0,217300.0,121600.0,104700.0,260800.0,0.014516129032257963,49954.0
000001.XSHE,2022-08-25 14:37:36,2022-08-25,12.4,12.59,12.59,12.3,12.4,80962717.0,1008155819.0,13.64,11.16,12.58,12.59,12.6,12.61,12.62,12.57,12.56,12.55,12.54,12.53,8900.0,817048.0,1204700.0,325600.0,327400.0,220100.0,116600.0,104700.0,260800.0,360800.0,0.015322580645161343,50000.0
000001.XSHE,2022-08-25 14:37:39,2022-08-25,12.4,12.58,12.59,12.3,12.4,80985417.0,1008441385.0,13.64,11.16,12.58,12.59,12.6,12.61,12.62,12.57,12.56,12.55,12.54,12.53,1200.0,855948.0,1208100.0,325600.0,327400.0,216900.0,119000.0,106300.0,260800.0,360800.0,0.014516129032257963,50015.0
000001.XSHE,2022-08-25 14:37:42,2022-08-25,12.4,12.58,12.59,12.3,12.4,80998917.0,1008611270.0,13.64,11.16,12.58,12.59,12.6,12.61,12.62,12.57,12.56,12.55,12.54,12.53,8700.0,865248.0,1211800.0,325600.0,329400.0,218100.0,119200.0,106300.0,261400.0,360800.0,0.014516129032257963,50036.0
000001.XSHE,2022-08-25 14:37:45,2022-08-25,12.4,12.58,12.59,12.3,12.4,81005517.0,1008694297.0,13.64,11.16,12.58,12.59,12.6,12.61,12.62,12.57,12.56,12.55,12.54,12.53,17400.0,877948.0,1214400.0,325900.0,329400.0,219800.0,119200.0,106300.0,261400.0,360800.0,0.014516129032257963,50046.0
000001.XSHE,2022-08-25 14:37:48,2022-08-25,12.4,12.58,12.59,12.3,12.4,81543617.0,1015468680.0,13.64,11.16,12.59,12.6,12.61,12.62,12.63,12.58,12.57,12.56,12.55,12.54,376348.0,1213400.0,325900.0,330100.0,223000.0,14300.0,241200.0,126300.0,106300.0,253500.0,0.014516129032257963,50258.0
000001.XSHE,2022-08-25 14:37:51,2022-08-25,12.4,12.59,12.59,12.3,12.4,81811517.0,1018841307.0,13.64,11.16,12.59,12.6,12.61,12.62,12.63,12.58,12.57,12.56,12.55,12.54,137748.0,1224300.0,327400.0,330100.0,223000.0,19900.0,240600.0,126300.0,106300.0,253500.0,0.015322580645161343,50395.0
000001.XSHE,2022-08-25 14:37:54,2022-08-25,12.4,12.58,12.59,12.3,12.4,81845517.0,1019269283.0,13.64,11.16,12.59,12.6,12.61,12.62,12.63,12.58,12.57,12.56,12.55,12.54,129848.0,1218100.0,334500.0,330200.0,223000.0,26800.0,240600.0,125700.0,99900.0,253500.0,0.014516129032257963,50411.0
000001.XSHE,2022-08-25 14:37:57,2022-08-25,12.4,12.6,12.6,12.3,12.4,82195617.0,1023677435.0,13.64,11.16,12.6,12.61,12.62,12.63,12.64,12.58,12.57,12.56,12.55,12.54,1127848.0,334500.0,330400.0,223100.0,320100.0,100.0,246100.0,125700.0,99900.0,253300.0,0.016129032258064502,50560.0
